id,year,month,state,tot_no_pw_reg_anc,no_early_anc_register,early_anc_register,no_anc_4_or_more,anc_4_or_more,no_pw_given_tt1,pw_tt1_given,no_pw_given_tt2,pw_tt2_given,no_pw_given_tt_booster,pw_tt_booster_given,no_pw_given_calcium,pw_calcium,no_pw_given_ifa,pw_ifa,no_pw_given_albendazole,pw_albendazole,tot_c_section_deliveries,c_section_deliveries,tot_chld_born,tot_still_birth,per_still_birth
3285,2017-2018,November,Arunachal Pradesh,2559,853,33.33,681,26.61,1480,217.33,1193,175.18,354,51.98,603,88.55,948,139.21,404,59.32,327,20.34,1758,15,8.53
3286,2017-2018,November,Assam,50206,42090,83.83,49310,98.22,44453,90.15,46924,95.16,5587,11.33,7121,14.44,53548,108.59,10664,21.63,10549,20.87,56597,1247,22.03
3287,2017-2018,November,Bihar,198473,124569,62.76,120197,60.56,107263,89.24,102365,85.16,64870,53.97,52819,43.94,114222,95.03,26378,21.95,3694,2.32,185375,2409,13.00
3288,2017-2018,November,Chandigarh,3301,2000,60.59,2301,69.71,1545,67.14,1025,44.55,330,14.34,2110,91.70,2108,91.61,1118,48.59,860,31.79,2687,64,23.82
3289,2017-2018,November,Chhattisgarh,53382,47793,89.53,48975,91.74,43425,88.67,38730,79.08,12024,24.55,32884,67.14,52890,107.99,33631,68.67,6419,14.72,44695,757,16.94
3292,2017-2018,November,Delhi,85368,25448,29.81,28707,33.63,23596,82.20,18618,64.86,3119,10.86,36304,126.46,38969,135.75,11410,39.75,6985,28.67,25241,459,18.18
3293,2017-2018,November,Goa,2028,1141,56.26,1398,68.93,941,67.31,787,56.29,156,11.16,1395,99.79,1450,103.72,341,24.39,707,40.99,1727,16,9.26
3294,2017-2018,November,Gujarat,120252,93582,77.82,88623,73.70,91846,103.64,79074,89.23,30107,33.97,111289,125.58,113526,128.10,84392,95.23,16855,16.74,105039,1116,10.62
3295,2017-2018,November,Haryana,40860,28770,70.41,33638,82.33,29821,88.65,26106,77.61,10330,30.71,34750,103.31,34514,102.60,28145,83.67,7504,16.61,47877,676,14.12
3296,2017-2018,November,Himachal Pradesh,8879,7617,85.79,6991,78.74,5905,84.47,5415,77.46,2619,37.46,6353,90.87,8837,126.41,5199,74.37,1486,22.15,7397,114,15.41
3298,2017-2018,November,Jharkhand,78745,40436,51.35,66130,83.98,63362,95.81,54363,82.21,12990,19.64,29720,44.94,54940,83.08,18738,28.34,4805,7.72,64885,802,12.36
3299,2017-2018,November,Karnataka,92570,74344,80.31,96876,104.65,84280,87.00,77906,80.42,27486,28.37,81836,84.47,107058,110.51,62152,64.16,21817,27.88,78806,1289,16.36
3300,2017-2018,November,Kerala,44403,36728,82.72,37226,83.84,36442,97.89,32495,87.29,873,2.35,5842,15.69,30680,82.42,1043,2.80,15792,40.87,39051,142,3.64
3301,2017-2018,November,Lakshadweep,134,116,86.57,114,85.07,83,72.81,72,63.16,17,14.91,99,86.84,99,86.84,23,20.18,20,33.33,60,0,0.00
3302,2017-2018,November,Madhya Pradesh,150666,95748,63.55,112795,74.86,111213,98.60,99514,88.23,32150,28.50,118535,105.09,139312,123.51,90881,80.57,12091,10.61,122335,1981,16.19
3303,2017-2018,November,Maharashtra,185166,132764,71.70,150540,81.30,123906,82.31,106119,70.49,54632,36.29,132345,87.91,156997,104.29,80757,53.64,30684,19.92,155724,1461,9.38
3304,2017-2018,November,Manipur,4513,2479,54.93,2579,57.15,2847,110.39,2315,89.76,618,23.96,746,28.93,2095,81.23,153,5.93,663,21.73,3624,22,6.07
3305,2017-2018,November,Meghalaya,10449,3566,34.13,5243,50.18,4426,84.42,4332,82.62,2261,43.12,2098,40.02,4046,77.17,1291,24.62,551,13.50,7031,167,23.75
3306,2017-2018,November,Mizoram,1680,1229,73.15,900,53.57,1161,129.00,1086,120.67,555,61.67,86,9.56,644,71.56,159,17.67,258,17.42,1682,9,5.35
3307,2017-2018,November,Nagaland,2787,785,28.17,749,26.87,1369,182.78,973,129.91,316,42.19,202,26.97,402,53.67,75,10.01,236,16.53,1727,35,20.27
3308,2017-2018,November,Odisha,59234,49496,83.56,47662,80.46,51485,108.02,49708,104.29,5300,11.12,21192,44.46,50181,105.29,24275,50.93,8616,16.53,54166,1195,22.06
3309,2017-2018,November,Puducherry,7770,2708,34.85,5675,73.04,1882,33.16,1846,32.53,113,1.99,2006,35.35,1706,30.06,1073,18.91,1341,33.56,3972,38,9.57
3310,2017-2018,November,Punjab,30831,22589,73.27,28306,91.81,27312,96.49,26200,92.56,1718,6.07,11142,39.36,31392,110.90,8737,30.87,11869,34.81,34833,477,13.69
3311,2017-2018,November,Rajasthan,144524,89256,61.76,27913,19.31,89821,321.79,74023,265.19,47899,171.60,22212,79.58,77430,277.40,17587,63.01,12332,10.27,121417,2048,16.87
3312,2017-2018,November,Sikkim,671,505,75.26,551,82.12,557,101.09,484,87.84,59,10.71,525,95.28,500,90.74,269,48.82,128,19.60,653,12,18.38
3313,2017-2018,November,Tamil Nadu,86265,81431,94.40,78636,91.16,75029,95.41,70615,89.80,15703,19.97,26125,33.22,77301,98.30,29872,37.99,36878,45.94,80257,520,6.48
